assignedpatient_patientjpaid,inputfieldsstring,bestmatchedweight,bestmatchedpatient_patientjpaid,timestamp
101,"{""ort"":""Schwandorf"",""geburtsname"":""Hoevel"",""geburtstag"":9,""vorname"":""Alice"",""geburtsjahr"":1985,""nachname"":""Hoevel"",""geburtsmonat"":9,""plz"":""85350""}",-1.7976931348623157e+308,,2026-01-13 22:42:52.865
102,"{""ort"":""Meiningen"",""geburtsname"":""Benthin"",""geburtstag"":2,""vorname"":""Folkert"",""geburtsjahr"":1927,""nachname"":""Benthin"",""geburtsmonat"":2,""plz"":""33964""}",-1.7976931348623157e+308,,2026-01-13 22:42:52.99
103,"{""ort"":""Koblenz"",""geburtsname"":""Scholl"",""geburtstag"":10,""vorname"":""Wilhelmine"",""geburtsjahr"":1931,""nachname"":""Scholl"",""geburtsmonat"":12,""plz"":""27308""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.046
104,"{""ort"":""Oberviechtach"",""geburtsname"":""Juncken"",""geburtstag"":6,""vorname"":""Ingmar"",""geburtsjahr"":1943,""nachname"":""Juncken"",""geburtsmonat"":4,""plz"":""61110""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.102
105,"{""ort"":""Bayreuth"",""geburtsname"":""Ernst Taesche"",""geburtstag"":15,""vorname"":""Dimitri"",""geburtsjahr"":2000,""nachname"":""Ernst Taesche"",""geburtsmonat"":12,""plz"":""08487""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.152
106,"{""ort"":""Wunsiedel"",""geburtsname"":""Mueller"",""geburtstag"":21,""vorname"":""Alexander"",""geburtsjahr"":1917,""nachname"":""Mueller"",""geburtsmonat"":1,""plz"":""00264""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.204
107,"{""ort"":""Eutin"",""geburtsname"":""Heinz"",""geburtstag"":25,""vorname"":""Genoveva"",""geburtsjahr"":1925,""nachname"":""Heinz"",""geburtsmonat"":2,""plz"":""88154""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.25
108,"{""ort"":""Pfaffenhofen an der Ilm"",""geburtsname"":""Wende"",""geburtstag"":14,""vorname"":""Paola"",""geburtsjahr"":2019,""nachname"":""Wende"",""geburtsmonat"":1,""plz"":""73337""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.294
109,"{""ort"":""Iserlohn"",""geburtsname"":""Soelzer"",""geburtstag"":9,""vorname"":""Hermine"",""geburtsjahr"":1916,""nachname"":""Soelzer"",""geburtsmonat"":12,""plz"":""69190""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.333
110,"{""ort"":""Lüdinghausen"",""geburtsname"":""Holsten"",""geburtstag"":17,""vorname"":""Malte"",""geburtsjahr"":1916,""nachname"":""Holsten"",""geburtsmonat"":1,""plz"":""55261""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.373
111,"{""ort"":""Forchheim"",""geburtsname"":""Stey"",""geburtstag"":26,""vorname"":""Theresa"",""geburtsjahr"":1936,""nachname"":""Stey"",""geburtsmonat"":5,""plz"":""18416""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.414
112,"{""ort"":""Jüterbog"",""geburtsname"":""Franke"",""geburtstag"":17,""vorname"":""Sarina"",""geburtsjahr"":1965,""nachname"":""Franke"",""geburtsmonat"":12,""plz"":""97014""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.452
113,"{""ort"":""Feuchtwangen"",""geburtsname"":""Baehr Holt"",""geburtstag"":30,""vorname"":""Franco-Elfriede"",""geburtsjahr"":1945,""nachname"":""Baehr Holt"",""geburtsmonat"":4,""plz"":""51079""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.487
114,"{""ort"":""Nauen"",""geburtsname"":""Weinhold Rudolph"",""geburtstag"":16,""vorname"":""Ernst-Otto Guenter"",""geburtsjahr"":1934,""nachname"":""Weinhold Rudolph"",""geburtsmonat"":4,""plz"":""75381""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.524
115,"{""ort"":""Kamenz"",""geburtsname"":""Loeffler"",""geburtstag"":14,""vorname"":""Willibert"",""geburtsjahr"":1954,""nachname"":""Loeffler"",""geburtsmonat"":2,""plz"":""40043""}",-1.7976931348623157e+308,,2026-01-13 22:42:53.568
