assignedpatient_patientjpaid,inputfieldsstring,bestmatchedweight,bestmatchedpatient_patientjpaid,timestamp
101,"{""ort"":""Schwandorf"",""geburtsname"":""Hoevel"",""geburtstag"":9,""vorname"":""Alice"",""geburtsjahr"":1985,""nachname"":""Hoevel"",""geburtsmonat"":9,""plz"":""85350""}",-1.7976931348623157e+308,,2026-01-13 22:26:00.872
102,"{""ort"":""Meiningen"",""geburtsname"":""Benthin"",""geburtstag"":2,""vorname"":""Folkert"",""geburtsjahr"":1927,""nachname"":""Benthin"",""geburtsmonat"":2,""plz"":""33964""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.016
103,"{""ort"":""Koblenz"",""geburtsname"":""Scholl"",""geburtstag"":10,""vorname"":""Wilhelmine"",""geburtsjahr"":1931,""nachname"":""Scholl"",""geburtsmonat"":12,""plz"":""27308""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.073
104,"{""ort"":""Oberviechtach"",""geburtsname"":""Juncken"",""geburtstag"":6,""vorname"":""Ingmar"",""geburtsjahr"":1943,""nachname"":""Juncken"",""geburtsmonat"":4,""plz"":""61110""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.168
105,"{""ort"":""Bayreuth"",""geburtsname"":""Ernst Taesche"",""geburtstag"":15,""vorname"":""Dimitri"",""geburtsjahr"":2000,""nachname"":""Ernst Taesche"",""geburtsmonat"":12,""plz"":""08487""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.225
106,"{""ort"":""Wunsiedel"",""geburtsname"":""Mueller"",""geburtstag"":21,""vorname"":""Alexander"",""geburtsjahr"":1917,""nachname"":""Mueller"",""geburtsmonat"":1,""plz"":""00264""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.28
107,"{""ort"":""Eutin"",""geburtsname"":""Heinz"",""geburtstag"":25,""vorname"":""Genoveva"",""geburtsjahr"":1925,""nachname"":""Heinz"",""geburtsmonat"":2,""plz"":""88154""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.328
108,"{""ort"":""Pfaffenhofen an der Ilm"",""geburtsname"":""Wende"",""geburtstag"":14,""vorname"":""Paola"",""geburtsjahr"":2019,""nachname"":""Wende"",""geburtsmonat"":1,""plz"":""73337""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.393
109,"{""ort"":""Iserlohn"",""geburtsname"":""Soelzer"",""geburtstag"":9,""vorname"":""Hermine"",""geburtsjahr"":1916,""nachname"":""Soelzer"",""geburtsmonat"":12,""plz"":""69190""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.468
110,"{""ort"":""Lüdinghausen"",""geburtsname"":""Holsten"",""geburtstag"":17,""vorname"":""Malte"",""geburtsjahr"":1916,""nachname"":""Holsten"",""geburtsmonat"":1,""plz"":""55261""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.527
111,"{""ort"":""Forchheim"",""geburtsname"":""Stey"",""geburtstag"":26,""vorname"":""Theresa"",""geburtsjahr"":1936,""nachname"":""Stey"",""geburtsmonat"":5,""plz"":""18416""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.577
112,"{""ort"":""Jüterbog"",""geburtsname"":""Franke"",""geburtstag"":17,""vorname"":""Sarina"",""geburtsjahr"":1965,""nachname"":""Franke"",""geburtsmonat"":12,""plz"":""97014""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.621
113,"{""ort"":""Feuchtwangen"",""geburtsname"":""Baehr Holt"",""geburtstag"":30,""vorname"":""Franco-Elfriede"",""geburtsjahr"":1945,""nachname"":""Baehr Holt"",""geburtsmonat"":4,""plz"":""51079""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.662
114,"{""ort"":""Nauen"",""geburtsname"":""Weinhold Rudolph"",""geburtstag"":16,""vorname"":""Ernst-Otto Guenter"",""geburtsjahr"":1934,""nachname"":""Weinhold Rudolph"",""geburtsmonat"":4,""plz"":""75381""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.707
115,"{""ort"":""Kamenz"",""geburtsname"":""Loeffler"",""geburtstag"":14,""vorname"":""Willibert"",""geburtsjahr"":1954,""nachname"":""Loeffler"",""geburtsmonat"":2,""plz"":""40043""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.75
116,"{""ort"":""Neu-Ulm"",""geburtsname"":""Wilmsen Stolze"",""geburtstag"":31,""vorname"":""Gunhild"",""geburtsjahr"":2007,""nachname"":""Wilmsen Stolze"",""geburtsmonat"":8,""plz"":""86536""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.785
117,"{""ort"":""Wittstock"",""geburtsname"":""Albers Schaaf"",""geburtstag"":20,""vorname"":""Hans-Christian"",""geburtsjahr"":2025,""nachname"":""Albers Schaaf"",""geburtsmonat"":6,""plz"":""41187""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.822
118,"{""ort"":""Euskirchen"",""geburtsname"":""Hertrampf"",""geburtstag"":7,""vorname"":""Guiseppe"",""geburtsjahr"":1971,""nachname"":""Hertrampf"",""geburtsmonat"":10,""plz"":""06589""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.859
119,"{""ort"":""Cuxhaven"",""geburtsname"":""Ruppersberger"",""geburtstag"":9,""vorname"":""Abbas"",""geburtsjahr"":1918,""nachname"":""Ruppersberger"",""geburtsmonat"":10,""plz"":""84895""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.89
120,"{""ort"":""Emmendingen"",""geburtsname"":""Gumprich"",""geburtstag"":24,""vorname"":""Ilse"",""geburtsjahr"":1990,""nachname"":""Gumprich"",""geburtsmonat"":5,""plz"":""22695""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.926
121,"{""ort"":""Cuxhaven"",""geburtsname"":""Geisler"",""geburtstag"":9,""vorname"":""Urte"",""geburtsjahr"":2023,""nachname"":""Geisler"",""geburtsmonat"":8,""plz"":""54378""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.959
122,"{""ort"":""Eckernförde"",""geburtsname"":""Herrmann"",""geburtstag"":28,""vorname"":""Jenny"",""geburtsjahr"":1930,""nachname"":""Herrmann"",""geburtsmonat"":1,""plz"":""58699""}",-1.7976931348623157e+308,,2026-01-13 22:26:01.99
123,"{""ort"":""Wurzen"",""geburtsname"":""Eberth"",""geburtstag"":11,""vorname"":""Oliver"",""geburtsjahr"":1987,""nachname"":""Eberth"",""geburtsmonat"":8,""plz"":""76103""}",-1.7976931348623157e+308,,2026-01-13 22:26:02.022
124,"{""ort"":""Nordhausen"",""geburtsname"":""Preiss"",""geburtstag"":12,""vorname"":""Amalie"",""geburtsjahr"":1935,""nachname"":""Preiss"",""geburtsmonat"":6,""plz"":""10067""}",-1.7976931348623157e+308,,2026-01-13 22:26:02.053
125,"{""ort"":""Lübben"",""geburtsname"":""Jaehn"",""geburtstag"":19,""vorname"":""Ernest"",""geburtsjahr"":1946,""nachname"":""Jaehn"",""geburtsmonat"":3,""plz"":""82137""}",0.1632743668623397,,2026-01-13 22:26:02.091
126,"{""ort"":""Heinsberg"",""geburtsname"":""Johann"",""geburtstag"":30,""vorname"":""Kunibert"",""geburtsjahr"":1937,""nachname"":""Johann"",""geburtsmonat"":12,""plz"":""14441""}",0.18968350198349734,,2026-01-13 22:26:02.129
127,"{""ort"":""Augsburg"",""geburtsname"":""Grein Groth"",""geburtstag"":12,""vorname"":""Luisa Engin"",""geburtsjahr"":1951,""nachname"":""Grein Groth"",""geburtsmonat"":6,""plz"":""25012""}",-1.7976931348623157e+308,,2026-01-13 22:26:02.163
128,"{""ort"":""Pegnitz"",""geburtsname"":""Hamann"",""geburtstag"":7,""vorname"":""Gundel Erdal"",""geburtsjahr"":1957,""nachname"":""Hamann"",""geburtsmonat"":10,""plz"":""78990""}",-1.7976931348623157e+308,,2026-01-13 22:26:02.198
